#OTU ID,C1,W2,C2,S1,A1,K1,G2,I2,A2,Q2,V2,X2,U1,T1,Z2,Y2,W1,G1,K2,S2,I1,V1,Q1,X1,D1,U2,Y1,D2,T2,Z1,E2,E1,L1,P2,H2,N2,J1,R1,F2,M1,O2,B2,B1,L2,P1,J2,N1,H1,F1,R2,O1,M2
12df5db00c0cbcb87e6e65b2b38f1804,147,32,144,0,3,0,145,0,22,71,0,0,97,0,0,100,36,187,2,5,2,0,77,5,76,25,101,16,0,4,30,47,52,0,61,1,10,217,53,454,4,0,0,54,2,4,6,32,34,261,7,423
29b21b000d2ab8ed121326e8502e3764,147,24,101,0,14,1,778,0,27,44,0,2,36,0,0,79,43,992,0,3,3,2,71,13,496,28,90,515,0,0,22,38,50,0,21,0,0,709,27,469,3,2,0,44,9,0,5,31,26,740,5,433
034856416297c1120eadadc3dbc0de65,142,12,76,0,5,0,74,9,8,40,0,0,86,0,0,180,26,103,0,0,0,0,71,0,42,34,190,16,0,0,22,13,6,0,15,12,0,144,11,552,2,0,0,8,0,4,3,9,11,182,0,435
6401c6579cefe72c5db457a5b78d27aa,134,385,91,0,0,266,20,20,0,10,59,188,222,276,134,76,424,29,293,3,28,43,10,134,68,156,96,85,260,93,119,264,4,204,0,3,0,25,498,87,232,50,20,0,134,0,3,2,461,22,175,55
54c0d335ecea2554b8e643f538fe19fd,126,10,99,0,0,0,0,17,0,0,26,0,0,0,0,39,10,0,0,0,8,23,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,4,0,0,0
d96cfe315c37a9c8306351fa96f635da,124,6,107,0,633,12,11,41,1988,971,2,5,165,3,0,320,8,21,6,0,9,5,954,7,4,181,401,5,2,2,23,34,488,6,1861,0,0,63,0,240,67,29,12,630,18,0,3,1458,13,40,32,192
8b3c70f0a85c54381841af9b6d5e3e92,113,128,64,2,4,7,0,4,15,261,12,4,44,10,0,99,108,10,2,9,12,0,332,0,1579,27,94,859,8,0,38,30,291,2,267,0,0,3,170,571,0,1,4,256,0,0,14,244,123,0,0,487
e9b68c0f087795229a10c742e2fe8c2a,112,7,95,1083,811,4,1592,104,1902,1070,14,344,20,7,3,45,11,2011,3,1085,6,9,1160,280,707,58,77,488,20,8,124,130,4181,184,3640,2863,1184,1084,29,603,5,1496,1094,3619,208,1434,2208,3455,73,1300,7,525
9ef7b4dc5fefca2b17be2d3129fb4422,110,32,86,0,0,0,51,0,0,0,0,0,46,0,0,89,25,26,0,0,2,0,0,0,32,3,63,13,0,0,25,49,0,0,4,0,0,17,16,31,0,0,0,0,0,0,0,0,21,26,0,7
20492d4e8acdc9623d447e7c4b6e2b5b,108,110,80,3,21,18,260,88,46,126,59,85,387,50,13,70,137,326,39,10,95,63,126,59,256,250,101,114,24,15,108,118,80,86,59,2,3,176,461,346,16,30,47,71,145,16,9,67,340,234,12,240
